Minisector,GAS,ALB,Fastest
0,303.78541613534566,297.6810478109091,GAS
1,322.30316272064726,309.79537250424244,GAS
2,301.2373884857143,282.95723434128985,GAS
3,112.01793835914064,105.65368677215375,GAS
4,219.04902798475777,223.3027955898535,ALB
5,272.1445567434113,273.6028207464358,ALB
6,205.89759350688465,193.03535909166092,GAS
7,158.35875218439634,163.02544332952382,ALB
8,210.90300721435744,191.10052795171228,GAS
9,215.6876058420148,201.32931816007937,GAS
10,120.09867320464768,109.24465369908413,GAS
11,222.75886883837742,223.36180978889806,ALB
12,123.91869775950104,110.05899265496103,GAS
13,219.53962240335244,232.13156408297027,ALB
14,264.9555269659864,277.92021393859255,ALB
15,219.57564068820272,198.66757617294624,GAS
16,189.18404272860215,194.25085901388812,ALB
17,246.25089462681103,242.1983051764055,GAS
18,199.0087061846154,180.34004855227698,GAS
19,182.8526720940057,196.42344694678323,ALB
20,261.11720222857144,272.11799272727274,ALB
21,285.59328027767197,294.37119088761904,ALB
22,166.04103709975723,146.68017249293092,GAS
23,207.06429848481332,224.9365295308019,ALB
24,270.72360179070705,278.0736174662434,ALB
25,283.0,,GAS
