Minisector,GAS,NOR,Fastest
0,269.77554606065047,272.86776714438355,NOR
1,287.4726323610251,292.0264387365086,NOR
2,293.8637782200206,300.33496243775477,NOR
3,128.53813146734652,127.91572275231522,GAS
4,198.47675390210637,192.04383046283908,GAS
5,259.44047269423663,259.7367348714276,NOR
6,142.51607138458715,138.8047489985761,GAS
7,208.07780132378474,204.03018732875714,GAS
8,260.0709896128302,261.2729010074404,NOR
9,282.12226880000003,283.1270459280107,NOR
10,229.38778881337572,234.25051442429304,NOR
11,172.07125421245598,181.32131415071888,NOR
12,191.6085061824457,189.0463327474189,GAS
13,145.00483448270668,144.64252892361833,GAS
14,175.4812642489913,168.4194356527258,GAS
15,159.33094608974713,156.05691819564953,GAS
16,216.90864845670205,217.0026041637656,NOR
17,229.3063367585173,239.2137789508988,NOR
18,234.1765400484992,238.39812037006124,NOR
19,236.55137474281597,245.78525442353134,NOR
20,146.43772812999381,140.73476682593295,GAS
21,136.52113834981606,134.51798241563478,GAS
22,169.41939202743364,170.74086877396877,NOR
23,150.00423474659297,148.60445432611758,GAS
24,229.04401824,231.21005977072127,NOR
25,257.65271949048514,258.97014988104274,NOR
