Minisector,PER,LEC,Fastest
0,273.88908683174606,274.03458224,LEC
1,302.1081444453648,299.87546228148153,PER
2,323.183088,313.56923017772976,PER
3,335.8351560666667,320.7252602666667,PER
4,341.26027775999995,324.8073529098039,PER
5,341.34294598052554,326.34557293333336,PER
6,227.9465304888889,225.53208668171828,PER
7,107.80427886562995,107.23951883439015,PER
8,175.7975181088025,176.72075165968255,LEC
9,263.156645909387,260.6449847703096,PER
10,297.83148124444443,291.8781941847464,PER
11,184.29012352086772,190.39211725714287,LEC
12,99.22143657824846,95.52669039588751,PER
13,115.82939076063491,109.90597753043478,PER
14,223.5447876184393,222.9231491840823,PER
15,188.8117555809524,185.49156273706694,PER
16,231.0904535303316,229.5528982327122,PER
17,180.39132946793652,181.47899101320198,LEC
18,237.45274217144444,233.66661333995862,PER
19,276.66966772899997,278.17083620251606,LEC
20,253.64356242424245,264.55040035555555,LEC
21,153.84864342552382,147.38200914057683,PER
22,97.71943521274889,96.29013302583238,PER
23,127.9215712907983,122.611493630839,PER
24,225.36659674868662,220.32130345600655,PER
25,254.58333333333331,258.1166634666667,LEC
