Minisector,SAI,PIA,Fastest
0,247.15453861241258,246.80929661887447,SAI
1,286.8930103038233,283.29665811266955,SAI
2,166.4676790421469,181.68223305102492,PIA
3,159.45425995878787,146.90951966099266,SAI
4,255.46152237184265,255.5375054326702,PIA
5,275.1168933555748,272.456993618882,SAI
6,234.17870463746033,241.0109638052966,PIA
7,208.69356090279544,209.08538283783136,PIA
8,162.79408145855288,168.73799439284502,PIA
9,215.34024954223997,217.18688930412262,PIA
10,271.9968517098901,271.4584518191746,SAI
11,128.85948813232952,129.87413758601477,PIA
12,216.36971739539146,205.82051317153955,SAI
13,275.9495076774603,273.751235001068,SAI
14,299.8897729015208,297.15922988910825,SAI
15,312.99380770652556,307.9205227875966,SAI
16,244.99799601730106,245.05181397126395,PIA
17,129.37501696720247,129.68397387673448,PIA
18,132.11086870278956,129.91974156228622,SAI
19,120.82304190717315,123.90104132317369,PIA
20,228.35134019425982,224.5084023205809,SAI
21,255.60452180395603,260.0422059398162,PIA
22,244.71109424513332,241.66160839021475,SAI
23,219.1209002454422,220.5856000203285,PIA
24,139.43052260592336,139.24373268500642,SAI
25,219.8,216.5499989333333,SAI
