Minisector,VER,NOR,Fastest
0,271.48414440624555,270.80493656071303,VER
1,296.5654916480808,295.8164692803688,VER
2,311.6037617579965,310.4914238935488,VER
3,318.0357378979744,318.82404178133334,NOR
4,322.3868590993007,322.8419876051582,NOR
5,323.89579476389343,325.184642976508,NOR
6,194.50472123500995,197.2617787423711,NOR
7,107.11940648909771,105.36732858272335,VER
8,184.9400874999034,187.73025388190476,NOR
9,259.994010689801,260.0641256063492,NOR
10,289.2889396997442,288.58001692867725,VER
11,169.96066052568543,137.66694900066832,VER
12,100.76607765938321,97.99061606940307,VER
13,114.53758203985608,117.3434974253258,NOR
14,220.4414608795228,216.647266791342,VER
15,188.2417106070226,194.31870430278016,NOR
16,223.89554622713754,214.4317579657143,VER
17,176.82495946481052,175.14840311164227,VER
18,234.51729000973543,239.73721639438963,NOR
19,273.9344899063168,279.43808429545453,NOR
20,241.36229764571428,242.59870555995522,NOR
21,144.87592633223778,137.4120269044307,VER
22,95.70110987911364,97.45812360933786,NOR
23,124.88632413370064,126.19947094199186,NOR
24,222.994038631101,230.76790926777315,NOR
25,254.52142994285714,,VER
