Minisector,RIC,BOT,Fastest
0,266.662194076822,273.5326657040866,BOT
1,284.44008474009144,293.8111174343947,BOT
2,290.8272654565375,301.9672615372541,BOT
3,136.58839914829437,128.27495768674734,RIC
4,197.41496222475533,190.98346329011926,RIC
5,255.79140031378023,257.5018763857798,BOT
6,148.15123654006732,140.33051342687972,RIC
7,204.78798804162872,207.72014673903757,BOT
8,255.50405290741347,261.2201209073835,BOT
9,278.14128975904197,280.47263318021095,BOT
10,246.24313012098713,217.80688658008913,RIC
11,185.7411520204357,168.4030308693901,RIC
12,193.58433525393932,193.97643919478648,BOT
13,152.57864623081036,138.033157081939,RIC
14,174.2752257659097,179.2156848957075,BOT
15,161.5752291730674,159.15499926640246,RIC
16,217.89424766984126,221.245908695751,BOT
17,234.43801563972033,231.41201682458853,RIC
18,238.6496399422952,242.37282004844522,BOT
19,246.504166933853,223.21427262318767,RIC
20,147.17752669963642,147.84442075034764,BOT
21,138.900352319121,126.51968915927534,RIC
22,171.55619959262782,171.8698857490712,BOT
23,153.45251555767769,152.12912845967978,RIC
24,226.5016974296472,234.9298943896632,BOT
25,254.95833066666665,,RIC
