Minisector,PER,ALB,Fastest
0,281.8640350315789,284.36587170955266,ALB
1,157.51691449862537,160.65497091934068,ALB
2,175.273571884088,163.13529088587384,PER
3,245.09765668688644,241.9745078471477,PER
4,277.3854341277702,282.96632997640836,ALB
5,246.50199065671393,224.64877638177094,PER
6,227.74385166261808,212.48655065756643,PER
7,160.12923715152075,150.19086264573144,PER
8,230.06793618751897,227.17468488444445,PER
9,277.3574397658874,278.8202959625369,ALB
10,296.0202167716384,300.6747396441829,ALB
11,306.16257517233083,310.1475206715627,ALB
12,309.72676767030305,313.8267285175709,ALB
13,307.1784431109788,308.86453077199667,ALB
14,126.3119024425292,130.10838616401736,ALB
15,112.54846789329156,117.85304218138432,ALB
16,98.79810827495146,91.66067454350322,PER
17,235.58210230095236,230.7658038518919,PER
18,282.2592963398818,286.3997202800334,ALB
19,302.4924060642517,306.06129417858585,ALB
20,314.0126625102222,316.0177909608466,ALB
21,317.43272323428573,320.18304191466666,ALB
22,122.28203178904718,120.99898249827167,PER
23,205.1069928638133,185.32003570136126,PER
24,262.1040353253594,265.393539712,ALB
25,,281.3818181818182,ALB
