Minisector,HAM,STR,Fastest
0,250.69756484034633,250.34847826497355,HAM
1,216.3733158487848,206.1336555097345,HAM
2,199.8927415101876,209.71968672435375,STR
3,255.93495651091416,261.9302412303345,STR
4,269.2279541361039,273.4385912152381,STR
5,288.6827915426128,289.3985911032381,STR
6,180.10876322233167,152.8122999876886,HAM
7,170.86179626431903,187.3979643001371,STR
8,262.84300344565656,266.7206521261008,STR
9,292.3879945446236,291.85509714954014,HAM
10,304.1863886807843,302.04651195580954,HAM
11,305.9373571373529,297.253703969161,HAM
12,120.26694489898826,111.95236047539757,HAM
13,187.79253337663593,191.09282077187842,STR
14,268.6952131673068,268.10617396363637,HAM
15,295.1953116352347,291.79658590364016,HAM
16,303.44819093066,292.70075137539607,HAM
17,190.04752550523926,181.3298671770794,HAM
18,216.80068409005705,218.36207028734694,STR
19,268.098170948254,256.3325861306689,HAM
20,152.5198690958949,149.4417087529499,HAM
21,141.84679352344153,147.6109742814248,STR
22,220.00140154719006,220.62138128513303,STR
23,241.8518562339921,219.63787079714288,HAM
24,152.753303339701,162.49135323129832,STR
