Minisector,VET,NOR,Fastest
0,285.98287966621314,291.83077241021596,NOR
1,294.2249736412247,303.08261266766914,NOR
2,297.7221439701531,309.3583958536341,NOR
3,296.2529166933333,300.1413963015139,NOR
4,171.69357136120465,165.48738456296297,VET
5,212.75648098765433,210.85850204507412,VET
6,235.85194282088003,234.74349926399998,VET
7,263.87244861678005,267.13294835459226,NOR
8,256.4269397995859,244.17327430062113,VET
9,161.94332348855798,164.3208511273634,NOR
10,229.61596811080602,229.50588210590476,VET
11,135.15177078651323,134.06960078198617,VET
12,226.95019373288312,231.51165502857143,NOR
13,188.31985603764682,180.75264918853026,VET
14,211.722541638392,220.57499864615386,NOR
15,236.42916693333333,245.89726679992862,NOR
16,255.73663239719795,265.85694384761905,NOR
17,280.6141187573536,289.4965100133333,NOR
18,127.4853301875246,122.54685686691698,VET
19,159.26155274059082,162.5021495993049,NOR
20,142.9935128211114,151.69846408421054,NOR
21,161.34793631214313,149.81358163301587,VET
22,113.67439618105114,116.50726224559767,NOR
23,225.2465903189269,233.39216569295237,NOR
24,266.29325985249403,279.55550512308866,NOR
