Minisector,VET,SAI,Fastest
0,268.42814650340136,272.4310604121212,SAI
1,284.97197747854557,289.91052706505246,SAI
2,291.01164807370947,290.7728999556036,VET
3,127.15828795088505,127.1935332479238,SAI
4,199.9759602465915,209.7150908162014,SAI
5,253.99256744336392,253.92103240997733,VET
6,142.99277972142903,142.64181181484773,VET
7,212.6498170662821,215.3906657706667,SAI
8,258.844614646712,261.027958210027,SAI
9,276.9462796647619,278.3620836266667,SAI
10,242.11427269988033,241.46168874609594,VET
11,178.41270713780548,181.9765605973533,SAI
12,201.49871955434574,204.32452380629118,SAI
13,144.19941562259226,141.73807928888888,VET
14,185.6855447591052,187.40424004500744,SAI
15,164.60102798499278,170.3943819857143,SAI
16,221.26440986599138,229.93870404074812,SAI
17,239.1621376,236.49120658008658,VET
18,244.71702854492753,248.22738029401492,SAI
19,234.75381536678896,212.26407137848014,VET
20,144.53622804926016,154.6372610438095,SAI
21,131.53859128888888,126.87756425680894,VET
22,177.23608442500193,183.99252829425288,SAI
23,151.84342298950992,156.98912520076686,SAI
24,231.62965834135704,238.86979100350877,SAI
25,256.4916672,,VET
