Minisector,NOR,VER,Fastest
0,288.5917139242548,281.7045570957453,NOR
1,159.56040705812595,152.4948914343977,NOR
2,149.1420672945266,148.06433465868784,NOR
3,226.35326873167435,224.09686910121636,NOR
4,286.1168762305845,286.36815716173913,VER
5,288.2043142247619,287.0989490908124,NOR
6,140.3119273555954,139.42942630762528,NOR
7,135.5799337991121,136.26991334070652,VER
8,139.86107344144654,131.70819699463163,NOR
9,187.9255142671977,185.88019189388746,NOR
10,126.29508218303413,128.27191976371805,VER
11,124.28630023112846,119.04156717749127,NOR
12,169.08745418199914,164.8166050531777,NOR
13,270.26423179687754,267.54800482709607,NOR
14,291.08514737052155,292.24316285925596,VER
15,150.77114000580562,151.65223413103718,VER
16,200.14616312157682,203.74129315043,VER
17,176.0929037481612,172.67771977146631,NOR
18,270.92493046495787,269.57205858416586,NOR
19,293.7011024587239,293.171235224127,NOR
20,308.69413241465753,307.6064753376266,NOR
21,316.94759835580953,316.80624994285716,NOR
22,321.89082884791446,321.86780033662336,NOR
23,324.49984313766237,325.4499999321212,VER
24,323.00553244298334,324.0182256399093,VER
25,319.0,,NOR
