Minisector,LEC,NOR,Fastest
0,290.54726708917747,311.75462846850434,NOR
1,301.04701521429075,327.4083334175439,NOR
2,305.3566144078847,328.1197248071883,NOR
3,306.5596501333333,319.58045202889855,NOR
4,176.53796796466312,171.99974581010102,LEC
5,214.5553344733686,208.69007479756837,LEC
6,241.70937484444445,237.7129968,LEC
7,265.40290579392445,264.3646741797101,LEC
8,258.1266529755927,247.69112055652172,LEC
9,168.31070316037753,165.42113945644905,LEC
10,232.35315130108975,224.18284415109483,LEC
11,135.9388641409087,130.10391977545305,LEC
12,229.78419338651614,226.5181790065934,LEC
13,195.4504343162762,182.01950458552125,LEC
14,220.44014573012217,220.90000149333332,NOR
15,251.46908316723844,246.17328344579025,LEC
16,264.30203094320115,265.7536855510204,NOR
17,285.5726189393484,282.3988096507936,LEC
18,165.99785658907885,157.78377273313671,LEC
19,176.84238278512714,172.32372059741058,LEC
20,146.63605015677655,143.47695708693783,LEC
21,170.2728612529972,159.4436898065405,LEC
22,114.66191805257415,114.79138997292775,NOR
23,223.36792238165785,225.12550525421244,NOR
24,272.1943829397062,271.3015093116143,LEC
