Minisector,PIA,ALB,Fastest
0,289.8327501019806,284.14724986915826,PIA
1,155.0319817153803,154.3792050150411,PIA
2,148.3617020956362,146.51734234027052,PIA
3,229.31218162511465,222.66087586462947,PIA
4,287.14754173598845,288.2067731433196,ALB
5,285.70882322351963,282.9839855696893,PIA
6,136.89435485969713,137.25413108831788,ALB
7,139.00432899523335,136.97235962351746,PIA
8,135.0441831265874,126.9017691158403,PIA
9,193.33152022327207,186.46831812732432,PIA
10,132.11571302381677,121.66115219754182,PIA
11,124.1134249235235,125.3520920084529,ALB
12,162.35346762455026,169.2734564098128,ALB
13,267.21387811321995,268.57279513478096,ALB
14,284.4721193288676,291.46634499531365,ALB
15,148.74101841638984,143.4292548202081,PIA
16,201.52012717545807,197.10844916408232,PIA
17,165.80847259436314,175.45841602352485,ALB
18,268.0314582006621,270.710152737018,ALB
19,297.1025296016768,294.66380416,PIA
20,311.00730453490826,310.0932548613146,PIA
21,320.03157904360904,319.28098226285715,PIA
22,324.91883579051853,324.1175447649102,PIA
23,326.8562499809524,326.7640277688889,PIA
24,318.95729125155555,325.13028888266564,ALB
25,316.0,,PIA
