Minisector,PIA,GAS,Fastest
0,265.28141422603176,255.39798114530035,PIA
1,128.51328080352368,133.88883736009063,GAS
2,269.21036033352954,268.83197207182303,PIA
3,309.7587873870222,311.7174732223266,GAS
4,309.9842158692634,313.08702372219784,GAS
5,318.1068576740741,321.93603572303397,GAS
6,321.7318804875953,325.8932246631884,GAS
7,323.79041674666666,322.64076726784907,PIA
8,207.39833550213098,193.95418608353077,PIA
9,205.21819333433973,201.46183846752052,PIA
10,183.72293504038095,182.25940206440438,PIA
11,177.65257183202618,170.3328980360548,PIA
12,260.90049782652017,253.57246384169284,PIA
13,285.4954483075057,272.50909637488485,PIA
14,289.52743444996634,282.7040756875169,PIA
15,280.2491628232417,281.44337056,GAS
16,174.11882506135643,173.94703292011712,PIA
17,203.09663681519945,195.12670891619743,PIA
18,252.2693155661612,242.72228493539137,PIA
19,294.2863159398429,293.44073829605065,PIA
20,312.79918243959634,313.74443930236026,GAS
21,317.3132608556522,320.709937657808,GAS
22,315.0841150770794,317.2089075933692,GAS
23,257.4264329829481,248.75309110032572,PIA
24,120.26167015727673,120.52988999590688,GAS
