Minisector,LEC,OCO,Fastest
0,257.90311271217564,258.5583844053907,OCO
1,135.16136850631685,129.73181278497415,LEC
2,263.8040040420752,268.12785255249963,OCO
3,309.0362032370068,312.0495447589234,OCO
4,308.9533803279412,313.0208553521357,OCO
5,317.6966689846154,321.99086123377776,OCO
6,322.2766262537374,327.0319588703704,OCO
7,318.2379869845182,322.4025181078261,OCO
8,201.11357603335333,204.33228919176258,OCO
9,203.92878291809524,203.76574608079736,LEC
10,179.43022387906075,182.2906429076133,OCO
11,170.58906959502238,174.01348542925064,OCO
12,258.102719400892,256.90138155084486,LEC
13,279.5001157176157,272.4164174716699,LEC
14,283.8066470554215,280.662287249418,LEC
15,276.3309436737566,267.8653483150667,LEC
16,176.30680512707391,173.0268704497315,LEC
17,192.82183977815933,189.41271219265207,LEC
18,246.9101717896517,249.75550506542982,OCO
19,288.32689999999997,292.60252016937727,OCO
20,306.2500537590528,313.8797283825785,OCO
21,313.50214285714287,320.80357499362316,OCO
22,311.2129070491488,316.08751939875776,OCO
23,258.6432041544111,251.81445593845868,LEC
24,121.5932329648616,122.56637448341984,OCO
