Minisector,HAM,RAI,Fastest
0,301.6355775344821,314.1597018120894,RAI
1,257.952850430279,247.70992852347786,HAM
2,203.4942081580194,197.41556348388104,HAM
3,269.39527286768856,266.6341748883202,HAM
4,234.22765346554934,221.42543582308716,HAM
5,122.27322626939697,116.58657532131221,HAM
6,186.1317506497318,179.96790773752292,HAM
7,261.773497836351,260.75993025871884,HAM
8,292.15516898888916,289.2041709433479,HAM
9,304.05847492936545,302.37349731645236,HAM
10,309.4159798971263,306.09096813103594,HAM
11,231.7201893884114,205.51240933936856,HAM
12,148.86884089316766,148.0776313410568,HAM
13,260.5629515234795,262.32515768675455,RAI
14,292.6658526671684,291.9068274302307,HAM
15,303.8573768670496,301.69110137729257,HAM
16,301.4398245726005,297.9875649174852,HAM
17,271.8103033280222,250.05307074448115,HAM
18,194.58404147367148,182.4624181169327,HAM
19,196.38725529399667,175.0880315460324,HAM
20,190.26649674926836,202.00867426274078,RAI
21,255.85679088821158,237.9885485946889,HAM
22,131.44491525075134,123.34142833220355,HAM
23,196.66006110110044,220.46607155174968,RAI
24,278.0728177682267,278.8064646954064,RAI
25,292.6916672,,HAM
