Minisector,VET,HUL,Fastest
0,285.3598010659739,276.33496178552076,VET
1,311.86628182939637,299.62548045128204,VET
2,325.1535718095238,311.5976562,VET
3,332.7794646857143,319.0433673469388,VET
4,337.07559535238096,324.49434521904766,VET
5,338.00595238095235,322.67435897435894,VET
6,206.37139636363636,213.71122814891777,HUL
7,106.1849518918821,105.89847717491621,VET
8,196.23198287418947,194.6704204892707,VET
9,271.1852000711111,267.9906620285714,VET
10,301.45342350476193,292.88214285714287,VET
11,174.1396712064397,169.71642397497914,VET
12,97.04070373307103,99.57013223917546,HUL
13,120.61235951707624,117.86512221586231,VET
14,227.62676941041522,223.85535781854637,VET
15,189.71845712171648,185.0227823296792,VET
16,222.56540879576718,227.25104300490912,HUL
17,180.5526877885342,176.09535987956346,VET
18,240.6202380952381,241.04035138245615,HUL
19,287.2225564773727,281.5431544285714,VET
20,254.21338974131788,250.01474307228412,VET
21,147.75874788757199,145.4899814219994,VET
22,98.07213043848886,98.91992174936722,HUL
23,125.12921684897958,130.01320037358875,HUL
24,237.88730173968253,229.7107854086657,VET
25,,259.89999680000005,HUL
