Minisector,HUL,VER,Fastest
0,268.8063183214652,264.9448860888769,HUL
1,138.10467813226762,151.09722924008892,VER
2,189.91702436736546,175.80674542400715,HUL
3,243.57009498817987,241.05754975398557,HUL
4,261.0875853823129,261.26882897418,VER
5,175.00854845398877,198.23613907103703,VER
6,144.71626596246384,154.4146739478261,VER
7,176.44821302857142,168.09878815984368,HUL
8,102.02785079304005,121.38712220181526,VER
9,76.5695918159748,83.19951136300315,VER
10,91.00902963233125,96.5327170478978,VER
11,171.70819999608847,143.3562825397771,HUL
12,243.2304919072314,236.76956253095125,HUL
13,267.4720498205456,264.2076923076923,HUL
14,281.2217962666667,280.21701386666666,HUL
15,123.7281547510572,187.2655192373797,VER
16,129.90894891598805,105.1915687191658,HUL
17,198.1412853848742,205.34824664009437,VER
18,191.1171435222686,185.8793233082707,HUL
19,227.33035178066123,228.21171432957541,VER
20,135.57673014879555,145.4349805809615,VER
21,126.14227770351096,160.1933053340103,VER
22,86.98837251239449,82.8011544183301,HUL
23,187.8522736448517,161.35672299529887,HUL
24,246.58600493475052,239.28138433793688,HUL
25,,256.0562496,VER
