Minisector,RUS,HUL,Fastest
0,310.5209711643592,303.458729556894,RUS
1,246.57503877723613,238.23440210566463,RUS
2,120.74970313345247,128.8503809711722,HUL
3,237.77615599223765,239.9076745714224,HUL
4,194.45418042073234,189.73782079766428,RUS
5,244.12732864510133,245.90991518210623,HUL
6,225.7319682310178,230.3611928319805,HUL
7,256.84367866455716,255.3290508861374,RUS
8,295.8076502265688,290.5630261303406,RUS
9,200.5831051977795,210.99497770538045,HUL
10,207.05268278799286,207.93429312589976,HUL
11,277.5306011085325,275.57567318379876,RUS
12,213.5388643373674,212.88818707802474,RUS
13,252.16306180243035,251.4313573490373,RUS
14,298.84493830544005,291.5088435252623,RUS
15,314.83317650086957,306.7775571106629,RUS
16,319.9669414405079,307.09953720882294,RUS
17,205.7431244475388,210.86902582251363,HUL
18,260.24047745193343,262.66648267752197,HUL
19,300.81622656426794,294.19836448848486,RUS
20,316.6127696834161,308.8621088435374,RUS
21,319.22491183171843,310.8484497386478,RUS
22,150.25672274710405,152.41441467176702,HUL
23,236.0129933656795,237.70935202469622,HUL
24,292.2505696388162,286.1584824495238,RUS
