Minisector,HAM,OCO,Fastest
0,296.65366444862497,293.07321443809525,HAM
1,254.81800437040204,237.6620269429277,HAM
2,199.2708998816214,190.54138484174118,HAM
3,262.12266522714276,260.5193444227032,HAM
4,215.85846254283925,222.61767737081593,OCO
5,113.19934449862227,111.05448351599968,HAM
6,171.4009458236428,164.5788068222794,HAM
7,252.35437535089685,258.629098557594,OCO
8,288.08952374548295,286.11580914034613,HAM
9,303.7181576400287,302.3854310509317,HAM
10,306.273170137971,304.35733893657726,HAM
11,229.14771911999998,224.71159543043578,HAM
12,139.7784564082891,134.597783096489,HAM
13,250.76737855981628,251.2875095113721,OCO
14,287.50203608029557,287.94460787758044,OCO
15,299.4368952332468,298.80795456969696,HAM
16,297.604844354632,291.4253119877268,HAM
17,256.3080137948718,249.59796806258504,HAM
18,178.59526814326264,178.441793803275,HAM
19,175.65265822710677,175.45589526484736,HAM
20,175.04623673568628,171.27689508281807,HAM
21,241.6868390284815,241.44069542901565,HAM
22,121.75700086197678,119.01837796256149,HAM
23,190.5973748514671,190.68885719603824,OCO
24,275.336279454359,272.0522814773856,HAM
25,,286.0,OCO
