Minisector,SAI,ALO,Fastest
0,281.69988531738386,277.2081637285532,SAI
1,296.72558217461227,295.28296885428574,SAI
2,291.5968276068237,293.5272586020834,ALO
3,175.76924393547785,175.11133978737575,SAI
4,216.7475342570598,208.64163574718617,SAI
5,194.8922487851799,191.86491609282538,SAI
6,175.9754147049906,176.83656585384128,ALO
7,202.33949463723786,194.6764221076293,SAI
8,254.59466604285714,244.53141959589746,SAI
9,261.86490590202544,259.41673690652306,SAI
10,166.16832034741597,165.58496973963523,SAI
11,231.766669448506,232.44317598864333,ALO
12,111.50376640750335,117.45963012013928,ALO
13,218.13189387776498,219.3863361320704,ALO
14,274.53514774494334,271.1219125587302,SAI
15,288.78845966084526,289.5396538869766,ALO
16,208.44712937509797,209.31263029656566,ALO
17,182.025185475213,175.42688980929768,SAI
18,265.57027567238094,260.83850352451503,SAI
19,290.09996035911604,289.21158912649923,SAI
20,301.42440035959595,301.9215378057143,ALO
21,301.20248914839823,303.55042355688244,ALO
22,288.74803178763415,274.1410284352,SAI
23,113.56827899613458,111.21401903959186,SAI
24,236.2217189396355,231.89811491607597,SAI
25,,263.9236124444445,ALO
