Minisector,VER,GAS,Fastest
0,292.28835946711985,291.4635416533333,VER
1,219.3012492864044,232.8860908964263,GAS
2,145.9853680328202,144.81745579557725,VER
3,222.96511197480046,219.66275883949555,VER
4,157.66980936290824,163.1660157,GAS
5,177.11941665563842,169.0862826420891,VER
6,248.0849829418819,247.59387755102043,VER
7,272.4286350408847,271.45050121303257,VER
8,280.25066137566137,279.1798245614035,VER
9,260.3906762700188,237.00253630144928,VER
10,245.65877906369727,227.34573333333333,VER
11,247.45036229565218,232.98647186147184,VER
12,213.24865608554242,203.4676281025641,VER
13,141.21971191437785,137.11086727302262,VER
14,155.45404691180045,149.20552474233995,VER
15,183.92044320628048,177.3063887593651,VER
16,255.58730209523807,254.00505424141426,VER
17,242.95268648928527,237.2831168831169,VER
18,117.51519616547901,113.43115269139099,VER
19,193.80450820906393,195.2421294617284,GAS
20,198.33697534433904,188.6728330957319,VER
21,233.37246376811595,227.08972561490683,VER
22,263.0669125750036,261.1497004775075,VER
23,278.84916695963,277.2739137156924,VER
24,288.0244708994709,286.212037037037,VER
25,291.0,287.5916672,VER
