Minisector,RIC,SAI,Fastest
0,261.3164120054422,260.659916939346,RIC
1,134.02802911913852,127.14849104761905,RIC
2,194.0853781879604,193.06386710275288,RIC
3,242.61696396190476,244.59407067304798,SAI
4,254.19356485612244,251.31279354048883,RIC
5,170.7736026767033,170.6420749702771,RIC
6,143.24121535239988,142.11795674920634,RIC
7,184.94261758899006,173.22334779649302,RIC
8,101.6213110836332,98.18698563385846,RIC
9,77.40151233630291,74.16977022980515,RIC
10,97.61694411182772,94.60750323311939,RIC
11,180.87424048039966,182.7818885202333,SAI
12,241.78093097384647,247.0269629525611,SAI
13,265.33571405714287,269.4976187428571,SAI
14,276.31039059231216,277.9479168,SAI
15,123.45754444937809,109.85397762193955,RIC
16,136.19045034392076,143.853401250139,SAI
17,188.82459208822056,182.10546930974783,RIC
18,195.63822846730417,192.47486054668974,RIC
19,215.04879122170126,195.4958645979883,RIC
20,136.21991470579263,126.96899393494155,RIC
21,121.20984361151805,105.59281017237033,RIC
22,92.87273681813069,95.82418568383507,SAI
23,190.37708432592592,200.0554737660485,SAI
24,244.14918304676894,250.28396396799465,SAI
25,259.38,,RIC
