Minisector,PER,ALO,Fastest
0,293.5941900373804,282.18631590232593,PER
1,320.4683112022611,297.0589490836364,PER
2,311.8718549237605,300.8035666912093,PER
3,182.59613628459138,183.232380104453,ALO
4,216.25841728897083,222.66220971594012,ALO
5,204.78147891436078,204.5413549015231,PER
6,181.3714856589932,179.26447480476938,PER
7,206.84952305848307,209.6501981198274,ALO
8,255.35287096801133,257.20395948205845,ALO
9,264.41744397176853,272.45346146433275,ALO
10,161.80654702847923,169.6785492661874,ALO
11,232.44794425805813,239.98823413238293,ALO
12,116.61933462263552,116.08024047269461,PER
13,224.3203811855501,217.27300128811058,PER
14,277.2604607808577,276.7219756294672,PER
15,292.15185830272316,293.50934909449273,ALO
16,207.7528984319029,218.16131616531416,ALO
17,189.6102172186611,178.4465204875206,PER
18,267.45895531249334,263.37807123553864,PER
19,293.3716095240513,291.6343309213605,PER
20,306.09326024965975,301.7885676169211,PER
21,307.9430010011806,302.87225865496436,PER
22,261.7281491771428,282.91088202716276,ALO
23,116.85171662114486,116.12150542362576,PER
24,240.04650371914613,230.48413524608696,PER
25,274.65376150833544,266.0999984,PER
