Minisector,PER,NOR,Fastest
0,230.62046782495003,234.27757920743232,NOR
1,283.0313329913834,282.43170137777776,PER
2,299.3041159162772,295.9643153160009,PER
3,306.61304782803165,302.16421167424005,PER
4,275.1183394041562,264.57741205770617,PER
5,164.94318482799517,168.13621551161614,NOR
6,259.5292810053604,262.6975638783837,NOR
7,279.4973365715933,279.84048963247506,NOR
8,210.99143421959963,208.17265929997487,PER
9,216.7620920248461,224.1739942783839,NOR
10,183.64452419666583,175.1191873743825,PER
11,225.4962340275169,226.61832231645928,NOR
12,200.16148304388827,200.74735780540453,NOR
13,211.4110833760981,207.00894458178757,PER
14,220.21004292562708,226.43960391848228,NOR
15,176.74047250453918,178.35489815142805,NOR
16,242.64876311882898,250.22664438566594,NOR
17,286.4804657853765,284.06475999751603,PER
18,299.9411990772853,296.454921095857,PER
19,287.53987576302336,284.4327956629978,PER
20,131.37053733096536,127.31115292899963,PER
21,168.24703847654152,152.56887417445145,PER
22,149.07319792499595,157.75024387407876,NOR
23,205.00157598340684,197.7603461440709,PER
24,147.156369132613,145.00148916928384,PER
25,178.80832426666666,,PER
