Minisector,VET,ALB,Fastest
0,281.1301180717354,274.54157443500543,VET
1,219.3243685302471,224.73142248253967,ALB
2,113.96207422974771,114.19545857606106,ALB
3,202.1458932760172,197.7230671696443,VET
4,175.70228161681413,176.73219806190477,ALB
5,225.21148193179772,222.06060606060603,VET
6,278.3191820399568,271.7523812010025,VET
7,295.04495607017543,287.57747495137846,VET
8,175.75757292429935,175.34709826190476,VET
9,126.83370734119481,125.10951271914,VET
10,137.05130322517732,136.84464037880016,VET
11,199.25806610415165,201.99448863492066,ALB
12,212.37596344615383,210.93871760389578,VET
13,131.8857957733333,131.56238593242034,VET
14,147.38985220586844,143.42496030670176,VET
15,128.80701794160026,134.1443988657379,ALB
16,258.01145141399934,251.5471654893424,VET
17,138.51295468279162,137.94279722911446,VET
18,206.99049785904762,207.98477641025642,ALB
19,137.2506381641237,131.44488169967562,VET
20,145.01581319607135,150.39655430533983,ALB
21,128.22341203004257,126.20303174043198,VET
22,151.0146057211519,158.2026231095238,ALB
23,220.2628411270073,218.50459169490105,VET
24,238.18042514608197,239.12687504000002,ALB
25,267.27499946666666,,VET
