Minisector,PIA,OCO,Fastest
0,284.1137739585327,280.333519874188,PIA
1,300.1119387492668,300.189181095524,OCO
2,300.98560093315194,296.50912177342406,PIA
3,167.4050234373249,171.8142892524108,OCO
4,215.21899693860263,210.23466100634923,PIA
5,193.87882452410383,197.83975069421558,OCO
6,176.4440685472548,170.81243078629637,PIA
7,200.3618644082251,194.57314603413633,PIA
8,251.5896460341073,248.8940306727202,PIA
9,261.82639944134013,256.2926704499471,PIA
10,164.44627722234014,161.48781017932467,PIA
11,235.79776691423092,229.25276182474994,PIA
12,116.59562203200412,110.50848813286048,PIA
13,219.15191510083437,219.64480294830759,OCO
14,278.8287280209078,274.1835156305589,PIA
15,294.3031664090383,289.35559255188406,PIA
16,203.21780776547524,204.90338431448043,OCO
17,177.17476676429183,175.28653528489153,PIA
18,266.33140609652077,263.40586642715505,PIA
19,292.41928271030304,291.0978458184748,PIA
20,304.5466173570695,304.0603029430303,PIA
21,304.94910222388097,305.13583859790634,OCO
22,275.133610092588,261.2799529723821,PIA
23,112.54225713739176,114.45499205375424,OCO
24,233.45107425020282,236.37229948432494,OCO
