Minisector,ALO,TSU,Fastest
0,282.18631590232593,280.49700291333335,ALO
1,297.0589490836364,297.04450847558536,ALO
2,298.47161277423993,293.1275681532275,ALO
3,177.61957867059732,174.31475541364853,ALO
4,222.66220971594012,213.2132166702381,ALO
5,204.5413549015231,198.2396535487148,ALO
6,179.2010976650864,176.3679472849457,ALO
7,211.67803335336464,199.33856952962623,ALO
8,258.0583249601467,254.00262440263734,ALO
9,270.75780929041974,257.3069437400118,ALO
10,167.8085089680259,163.5937460237041,ALO
11,239.98823413238293,237.5657384693208,ALO
12,117.91005000314208,109.2305953423203,ALO
13,220.7814839590148,224.91783185646352,TSU
14,277.21309660428847,276.5675523265672,ALO
15,293.9441317031884,290.3789853704348,ALO
16,213.98994506853998,202.38907145368975,ALO
17,182.58564115153513,185.0116088593974,TSU
18,266.04025281320986,266.7378144113834,TSU
19,292.5053353703896,290.1238282722761,ALO
20,302.3859483829405,300.45242908257313,ALO
21,302.47864572221613,300.57025593881673,ALO
22,272.5695769280323,260.35149500712845,ALO
23,114.85681717275077,113.59073990770669,ALO
24,234.57466396455075,238.84993251102836,TSU
