Minisector,PER,HAM,Fastest
0,261.46597202962965,261.9187505714286,HAM
1,134.16935360000002,140.71436333714286,HAM
2,195.45545875287166,201.5655453327967,HAM
3,243.84188928158224,247.22794139607845,HAM
4,261.4979365079365,259.6766666666667,PER
5,191.53226687012204,189.8086005452444,PER
6,148.92074796190474,155.73493534358974,HAM
7,186.02651515151516,192.12296260628182,HAM
8,105.30040207337025,106.21776267468671,HAM
9,79.52001840756306,79.16334994553121,PER
10,96.28343097919326,99.68537944367263,HAM
11,178.02735494492754,184.3661544034632,HAM
12,243.65882352941176,248.1043157809524,HAM
13,266.89887409771484,269.41450880768684,HAM
14,280.4488888888889,278.2249996,PER
15,120.83138022769175,117.70468329026652,PER
16,137.6288386920897,147.16442416410257,HAM
17,198.5515873015873,194.23478270144926,PER
18,193.55956978787557,203.71924270884583,HAM
19,226.3842105263158,221.4754387649123,PER
20,134.16032758634162,139.02868962475762,HAM
21,122.93064591325054,118.54901907450981,PER
22,88.69168099656389,95.87286048249017,HAM
23,187.46507936507936,198.283333384127,HAM
24,243.48926505418635,251.00506017852507,HAM
