Minisector,LEC,RUS,Fastest
0,287.7681305365392,287.78633007414646,RUS
1,296.0047567758576,298.0011452351323,RUS
2,282.7282965069217,269.17508481066665,LEC
3,104.70541656361192,108.9730352518624,RUS
4,226.39331031746534,218.53520641071142,LEC
5,267.192385481697,269.60059524585347,RUS
6,203.336980911558,205.8841471006448,RUS
7,159.38871406422723,162.51033916988024,RUS
8,214.47701113799792,216.6012418202332,RUS
9,226.79883998524375,218.56127236456047,LEC
10,109.47112898742688,111.81783036917892,RUS
11,225.31758465395353,225.9667820373466,RUS
12,121.66496970862585,113.40272109828854,LEC
13,220.80079951798285,219.80769538931983,LEC
14,272.3441130305787,275.3264395946229,RUS
15,209.4542572074523,205.62319205696144,LEC
16,196.18152789322315,202.71235189204864,RUS
17,252.32489399700248,249.75448214784578,LEC
18,210.47534707482433,188.5585011116208,LEC
19,180.18093529891,190.93811660236653,RUS
20,259.7247277465728,263.3392344999946,RUS
21,282.95416726417443,287.33151620517964,RUS
22,173.17454969268357,159.7467172037671,LEC
23,212.01841094353094,218.1219705399775,RUS
24,268.9467649546325,270.8475890720189,RUS
