Minisector,HAM,HAR,Fastest
0,285.8466508243266,285.28506646293266,HAM
1,253.89136411225485,246.50382802118708,HAM
2,269.81100076286384,268.74771774814815,HAM
3,278.7740648235433,282.94511942019665,HAR
4,138.1995312408636,125.39269691186894,HAM
5,211.9516835856176,214.45699435002754,HAR
6,266.56611062332314,266.34476630711777,HAM
7,285.276731490437,288.83760293882546,HAR
8,294.3536457111111,297.9622397203732,HAR
9,299.2263020666667,303.89603178268356,HAR
10,287.0921545512954,275.46493818960954,HAM
11,105.99688812471163,101.04085042708064,HAM
12,223.45570279458127,227.015107278975,HAR
13,272.67527623609317,271.8031469743724,HAM
14,278.62773530817714,260.6836058694256,HAM
15,140.6801993035163,132.00545397404017,HAM
16,213.6488580192689,210.933813145072,HAM
17,260.5740571079148,259.9252717890485,HAM
18,265.40900009170963,253.0120905635139,HAM
19,250.58337464665806,246.52189368711188,HAM
20,158.02206531160647,138.98008532731532,HAM
21,196.79618052377023,202.84255128570456,HAR
22,183.69722418347752,167.99799691177174,HAM
23,196.65033716629858,190.51707081407883,HAM
24,255.0273729693259,254.6199795824683,HAM
25,274.31840806158266,,HAM
