Minisector,OCO,MAG,Fastest
0,297.33151248592594,301.36609128507934,MAG
1,253.89696381335978,242.2366626133619,OCO
2,127.31672199884139,131.2756090156333,MAG
3,235.3479008246962,235.89182358952382,MAG
4,191.89964121045216,187.1024336944799,OCO
5,244.01303920310554,249.01670782655032,MAG
6,228.50737594236512,223.44676313227987,OCO
7,251.7809026629211,247.90588670707075,OCO
8,283.04982217071205,286.7285107067372,MAG
9,214.13149824669182,212.0916728035747,OCO
10,197.67264974245117,196.6748797485208,OCO
11,268.40491204534754,272.4924108219202,MAG
12,215.4648409267084,205.286568203813,OCO
13,246.08003135883402,242.54598377348827,OCO
14,287.1830267115323,289.58434479277867,MAG
15,301.5264337811289,314.64845375125134,MAG
16,298.52530940948185,321.25716222651783,MAG
17,213.3523093122344,195.39587562002512,OCO
18,259.41503268044573,251.8561150182716,OCO
19,292.3754359542857,297.544157295862,MAG
20,305.1238629422222,323.32920790730094,MAG
21,310.791838257479,326.6445184939829,MAG
22,151.7655677614522,147.45824424663707,OCO
23,227.72218012509984,225.28419481453105,OCO
24,281.69713005105604,294.4084309736811,MAG
25,292.0045463272727,311.85714285714283,MAG
