Minisector,PER,MAG,Fastest
0,290.70773720474307,290.78344347638284,MAG
1,168.7522717838471,167.7735632591739,PER
2,169.4308009056956,165.56827052424907,PER
3,253.06197973190805,249.98263314471075,PER
4,288.88089034825975,285.1911488129293,PER
5,255.3402443894346,249.93332431457432,PER
6,227.22957825800864,219.49799066865125,PER
7,153.37076327215314,149.53679984803827,PER
8,224.64164938119148,222.5459751207311,PER
9,280.65515687860926,277.30886882120086,PER
10,300.71560709956714,296.798749984,PER
11,309.7414248547279,305.5544543650794,PER
12,312.4331140491228,310.72609644350877,PER
13,308.7440260796372,309.37128807920476,MAG
14,139.1760674136744,136.12096841407387,PER
15,120.10754292696613,121.25349919669101,MAG
16,98.26711478037784,100.69327212630843,MAG
17,232.26674003431174,225.85570156108616,PER
18,285.449057283958,283.9232539225397,PER
19,310.0192933677823,305.84826329165094,PER
20,319.58169451555557,317.5282807230572,PER
21,323.3860227239506,319.0039729225023,PER
22,128.547052654325,132.31228629445528,MAG
23,203.2709229237839,188.58150235280203,PER
24,269.38200145463344,266.9616148511801,PER
25,284.22000128,281.1214281142857,PER
