Minisector,VER,GAS,Fastest
0,288.8294907851852,286.08754642719106,VER
1,298.96857142857147,287.37241972705885,VER
2,169.4170819212849,157.6686975950599,VER
3,226.38459893048127,220.83842927238095,VER
4,271.4902411730029,270.8276133868161,VER
5,290.14207920044373,292.18223641650354,GAS
6,297.5060204081633,296.50828107488326,VER
7,155.59531945139491,167.6038419956989,GAS
8,129.9501677508123,120.55557453639835,VER
9,252.8892539539384,245.6550775328254,VER
10,289.7185317460318,284.57841683746034,VER
11,306.4182602938026,293.71662083555555,VER
12,144.33021216139798,149.44038329296907,GAS
13,200.64596142848131,187.20254293502646,VER
14,258.7111557279588,253.1881008193683,VER
15,201.42266805899754,206.26843717809524,GAS
16,225.1147702491398,211.51631624677105,VER
17,219.9262111801242,208.43872047304347,VER
18,248.28767850827066,240.33710285206195,VER
19,279.67968067878786,274.19664389995154,VER
20,297.4755042016807,290.7654165485714,VER
21,265.41593109311,258.18186407035216,VER
22,225.27853513871634,221.57697871077798,VER
23,209.17384272737903,201.30579555169524,VER
24,266.1439116620385,258.6523763046029,VER
25,282.26874879999997,278.1041664,VER
