Minisector,BOT,GAS,Fastest
0,308.0934210245614,307.237037037037,BOT
1,242.08800042378712,237.9873196057971,BOT
2,138.66718343057644,135.86198038563356,BOT
3,217.74047014805433,217.26046598095238,BOT
4,262.44145760000004,264.2518367911235,GAS
5,288.20251017854224,288.7564848922306,GAS
6,302.85984290412847,304.4843137254902,GAS
7,288.3285114385965,288.61281522000934,GAS
8,176.57511205700095,172.69704289032256,BOT
9,239.30546436017315,236.76391304347825,BOT
10,271.1699996266667,273.5622807017544,GAS
11,268.0633997754902,264.935,BOT
12,209.23766677333333,198.05765432098764,BOT
13,128.11436559310997,134.39516400380953,GAS
14,125.78171231316016,119.39966349364437,BOT
15,163.67265768095237,170.83259943351254,GAS
16,119.54178993689065,120.30051412987014,GAS
17,232.24288230559006,220.4746406607435,BOT
18,187.9811324627702,194.37861242430213,GAS
19,158.01287783434344,149.42751784790994,BOT
20,245.18139574696653,242.74242424242422,BOT
21,275.2397551799499,275.5019502109238,GAS
22,291.65172144371826,293.0149122245614,GAS
23,301.269885739855,303.0273109243697,GAS
24,304.95694429629634,307.9708553029433,GAS
25,,311.11854974789185,GAS
