Minisector,PIA,ALO,Fastest
0,289.8327501019806,301.3231646710104,ALO
1,155.0319817153803,155.27294843792015,ALO
2,148.3617020956362,148.9252239707244,ALO
3,229.31218162511465,229.44428307994227,ALO
4,287.14754173598845,287.41491552727274,ALO
5,285.70882322351963,289.3553675522932,ALO
6,136.89435485969713,144.11874406495835,ALO
7,139.00432899523335,138.0514569640629,PIA
8,135.0441831265874,130.72997498160427,PIA
9,193.33152022327207,193.43043489800866,ALO
10,132.11571302381677,125.74961396879439,PIA
11,124.1134249235235,123.01480460939338,PIA
12,162.35346762455026,164.67913392279473,ALO
13,267.21387811321995,270.0840209603342,ALO
14,284.4721193288676,292.9586949101449,ALO
15,148.74101841638984,137.91864657005053,PIA
16,201.52012717545807,188.72254355650563,PIA
17,165.80847259436314,174.79062141319034,ALO
18,268.0314582006621,275.739741335625,ALO
19,297.1025296016768,296.4635390337387,PIA
20,311.00730453490826,310.35343101452935,PIA
21,320.03157904360904,317.69722225777775,PIA
22,324.91883579051853,322.9656780268648,PIA
23,326.8562499809524,325.92380946285715,PIA
24,318.95729125155555,325.4205499479251,ALO
25,316.0,,PIA
