Minisector,HAM,RIC,Fastest
0,278.6541819118197,274.0464236574194,HAM
1,239.45527925164524,243.91931966795778,RIC
2,118.27537266975311,122.37714873423249,RIC
3,191.75695266607244,191.23985575251052,HAM
4,183.44220516208827,187.87697442162946,RIC
5,220.36927461160704,215.5578167423339,HAM
6,277.813123514797,274.50179817619903,HAM
7,295.1005029265336,293.35044523544474,HAM
8,189.2372428151181,190.0471260808268,RIC
9,134.7144379248158,137.4818302249673,RIC
10,136.340087488696,133.5099059965202,HAM
11,191.84618319831043,189.51777129925512,HAM
12,224.73716972853362,232.52524736296263,RIC
13,135.11865839346348,138.45336707847963,RIC
14,157.87492082340663,162.98423899064267,RIC
15,121.6867084387457,121.2315722990146,HAM
16,256.0004622518751,253.35842856238222,HAM
17,144.22548236355888,150.41294935468858,RIC
18,200.8539008689968,198.95444096745396,HAM
19,140.69678152212484,140.747004734761,RIC
20,155.20297986379876,157.8135436885444,RIC
21,130.67184078915665,124.86569493737623,HAM
22,146.44040085056997,143.5006888419208,HAM
23,222.0211279889915,223.25346726394372,RIC
24,236.88639619340327,223.1949009192111,HAM
25,,257.9353249545313,RIC
