Minisector,PER,LEC,Fastest
0,278.2479857747879,279.52151331787036,LEC
1,296.63614743088027,297.35149384355435,LEC
2,233.47430831758288,242.50322081270508,LEC
3,109.04536906913991,112.39184622142908,LEC
4,127.47064641922469,125.4054243210948,PER
5,246.82786069760002,248.08890140395258,LEC
6,241.55825534110923,253.45526120128707,LEC
7,118.77636863966318,119.04151159710774,LEC
8,247.63331550234815,241.27410050250526,PER
9,256.9170765701587,250.83428472139946,PER
10,203.99820452689357,205.7335692256883,LEC
11,138.0184475191064,138.17483379428728,LEC
12,199.77692013110212,200.18344593049824,LEC
13,260.33386750720246,263.80028241364664,LEC
14,109.80053691327593,114.08123233345779,LEC
15,183.24941481820787,179.5348540482701,PER
16,252.1863807728538,253.71062310466039,LEC
17,286.9038509152183,285.9003935875758,PER
18,301.3877822326251,300.07872588765673,PER
19,319.1590067861295,306.6524671578947,PER
20,328.80034740285714,309.6318714105263,PER
21,162.99297351889453,177.32063780033613,LEC
22,140.85803632196001,131.71384715006857,PER
23,191.7420909709371,200.01774604057934,LEC
24,237.12999436300632,224.320245168492,PER
25,,261.8937506666667,LEC
