Minisector,NOR,OCO,Fastest
0,253.10451822248342,252.47135345020266,NOR
1,218.06458803960365,211.48047043291965,NOR
2,212.8159034983492,199.88015072644052,NOR
3,263.1110624171683,262.39446654729244,NOR
4,276.4769380849879,277.64689532681905,OCO
5,291.99848800530845,292.75722246252246,OCO
6,160.45885959208275,158.97439206960803,NOR
7,183.39565520354748,171.23972953488746,NOR
8,269.8288757814133,268.5678391897143,NOR
9,296.846020779861,297.5327823296541,OCO
10,307.363416349052,308.7201096844071,OCO
11,303.6007544084474,308.99951049297744,OCO
12,108.78070653383969,117.81531206619397,OCO
13,187.29732370265566,180.4780307534632,NOR
14,268.953814552449,268.21823779524925,NOR
15,295.718076585996,294.25893947927943,NOR
16,295.7243716305577,299.0774868207249,OCO
17,194.00916009466417,194.88068297042355,OCO
18,221.3817182521549,214.23433585353766,NOR
19,273.08092109545146,267.8506338849035,NOR
20,150.35220498071118,161.0612036717644,OCO
21,147.3714603949671,137.88970232254877,NOR
22,224.24314395249814,203.0452413558308,NOR
23,233.9646610437741,246.1515370767911,OCO
24,161.2627747628191,150.2051624236801,NOR
25,,223.35714285714286,OCO
