Minisector,GRO,SAI,Fastest
0,283.8154586135642,301.0600342327821,SAI
1,300.56983740641834,325.58083311999997,SAI
2,297.91870595192745,307.5874981333333,SAI
3,182.46021628698008,177.66824524762288,GRO
4,221.79486169799452,218.25344904827585,GRO
5,199.36251957972348,203.1157094576425,SAI
6,192.11163364097698,189.8219072080808,GRO
7,212.15463962167487,212.40277675798828,SAI
8,255.48832677466643,256.8320926349206,SAI
9,259.859600973913,257.0894876317033,GRO
10,177.5412400088033,171.57683351831236,GRO
11,239.49759991411935,238.3582996133619,GRO
12,117.23543660484445,117.49451633494294,SAI
13,227.91014896583513,230.38135977078252,SAI
14,273.74548644444445,272.86929205267023,GRO
15,286.0350423920522,278.2017599469979,GRO
16,207.05909622807954,206.95162587572568,GRO
17,182.22064024601946,183.61579164548144,SAI
18,267.3695132024845,268.72031146666666,SAI
19,291.5376265467537,293.1509917968254,SAI
20,303.66221351740234,303.5351505253153,GRO
21,302.5238095238095,303.7993483102041,SAI
22,264.27320869470554,257.8327569216273,GRO
23,114.2767993793648,118.16921451891855,SAI
24,240.00588321758244,244.11153675604393,SAI
25,,272.5749984,SAI
