Minisector,BOT,PER,Fastest
0,257.6705217735752,257.2991298703107,BOT
1,132.74718074934498,133.57427434358985,PER
2,263.0421134145893,261.749608,BOT
3,303.3173114902327,305.6703506180326,PER
4,302.84174114285713,303.7948413008818,PER
5,309.08636979157575,312.8641352507688,PER
6,315.2905863901235,318.0166885643739,PER
7,316.69283943427456,312.6921475282051,BOT
8,205.07385736069347,204.81831697364342,BOT
9,198.11608139537566,189.82006071011554,BOT
10,184.47436734303437,190.53294597954547,PER
11,167.42925946472192,164.46892756378855,BOT
12,252.37828293414955,250.07037689187678,BOT
13,276.2866056894407,283.2473959591631,PER
14,279.43905668253626,279.43731314895234,BOT
15,279.18456363614524,276.580040751746,BOT
16,182.32092719325144,182.31339656039833,BOT
17,193.22027229798033,193.29337108828133,PER
18,241.19366301681043,234.992211178836,BOT
19,286.23177840865617,283.67915080566775,BOT
20,305.8114582761905,305.72306514285714,BOT
21,312.12890514957223,315.54539476683055,PER
22,309.83776453192235,315.44642857728934,PER
23,260.64389364343367,267.94424483187356,PER
24,114.25145466071461,114.76782492547052,PER
25,227.5249984,224.0,BOT
