Minisector,HAM,VET,Fastest
0,291.9083333818182,303.08879134986194,VET
1,292.90905794782606,305.45535524436804,VET
2,267.4339973973333,263.8313911552057,HAM
3,161.92291939206302,150.8025054215179,HAM
4,180.89919215140708,165.59179130453606,HAM
5,216.8813874350516,210.61964495320552,HAM
6,245.9981954551547,238.8957956998122,HAM
7,219.72554497393807,210.0309657529017,HAM
8,268.9870493626389,260.01556005330093,HAM
9,266.4811366854543,258.7319525912381,HAM
10,275.6572549714286,274.59970206984127,HAM
11,276.950901897898,278.36416452763643,VET
12,273.1481189241905,277.875466516304,VET
13,273.95145020289857,270.74200603532955,HAM
14,190.47799165513368,168.87840133874647,HAM
15,236.11260868727933,232.28162793827082,HAM
16,218.35712337987314,208.56400336102558,HAM
17,172.23545729400155,162.4612651624219,HAM
18,255.68919845925925,252.5336531223443,HAM
19,283.6646035911306,282.9041533315786,HAM
20,264.86583055589347,255.0494029777302,HAM
21,193.23299132281267,185.2042823669426,HAM
22,252.742699643081,255.51030333630584,VET
23,277.9505066414871,284.49888676953805,VET
24,289.16371524444446,298.0001895272727,VET
25,,303.0124992,VET
