Minisector,OCO,TSU,Fastest
0,293.78729078864274,304.0512750248539,TSU
1,303.4119356554522,320.07628303265676,TSU
2,278.2989846462574,306.0425272180451,TSU
3,108.71268933815585,104.51809266301038,OCO
4,223.30668290799687,219.18851555517756,OCO
5,273.0929154149083,279.5632134025321,TSU
6,201.38596448784992,190.15729616378852,OCO
7,160.34106475578497,165.2624896594013,TSU
8,199.37907735368773,202.14824835459982,TSU
9,206.25602722658007,214.5924270044544,TSU
10,113.46048486061773,112.41011146176005,OCO
11,227.5291543536277,225.6331672848041,OCO
12,118.05352825727417,116.38606547725364,OCO
13,223.10504715409036,222.83152271996363,OCO
14,278.64291072080806,276.13942972749203,OCO
15,206.83645579283208,204.9277097441694,OCO
16,180.3846841009009,188.30323329775644,TSU
17,249.6789361457557,243.5946684848485,OCO
18,189.93307465406363,181.77495601486729,OCO
19,174.484502617638,178.92270582448978,TSU
20,265.5717988668178,262.53988167583225,OCO
21,294.0461357049758,288.11278849259446,OCO
22,164.45737578889663,156.386480084541,OCO
23,215.4524367501654,212.83427915300203,OCO
24,276.6554997904047,271.22882428215803,OCO
25,293.9375,,OCO
