Minisector,RUS,SAI,Fastest
0,292.5200368153955,284.2613781412448,RUS
1,150.33051330752485,144.63276896772203,RUS
2,226.85801610589337,223.39817688743054,RUS
3,285.0138312459218,282.37726049102304,RUS
4,315.48742190363896,313.2459211064935,RUS
5,285.7783204665387,292.42913370503237,SAI
6,150.92788906907225,157.9128314012606,SAI
7,247.47454482133028,244.1009643161905,RUS
8,114.09377758692229,111.07592026989279,RUS
9,173.10401913700437,176.0986891233853,SAI
10,280.2791781198932,278.64047656476106,RUS
11,302.8546423790476,299.56413683809524,RUS
12,218.67502244811521,210.1531852969697,RUS
13,170.48393226279953,179.3806625088869,SAI
14,280.126271596595,283.8675089137566,SAI
15,315.07811753529853,314.01952762285714,RUS
16,327.62371603330695,328.46207426848366,SAI
17,335.95199125621934,335.70201276685043,RUS
18,339.2319930788456,339.98308268270677,SAI
19,341.3469297964912,335.69632853471865,RUS
20,189.71638937347444,169.4004196084,RUS
21,181.0436432986325,195.01349304291318,SAI
22,283.59513997025283,285.3294448233489,SAI
23,315.2456213926737,313.8942726153761,RUS
24,325.62593695499305,321.38118596114475,RUS
25,323.0,,RUS
