Minisector,LEC,STR,Fastest
0,321.8195388016133,292.15023447333334,LEC
1,221.72922465190084,225.0488950811944,STR
2,133.69624667870195,131.10912938194005,LEC
3,217.58476807064935,211.16302803751327,LEC
4,262.5077793643932,259.1392307082251,LEC
5,292.754895056201,285.23981412063495,LEC
6,311.50829569357575,298.48961723117606,LEC
7,274.2069015594987,267.7533527967347,LEC
8,161.77081539819795,164.9986186411865,STR
9,238.64852592429835,233.062776608,LEC
10,273.3450472358399,268.2701398151871,LEC
11,252.5161198240363,259.80107880602793,STR
12,192.32422850862648,207.2143622360494,STR
13,114.675891954967,119.79466822513609,STR
14,120.17624303752177,124.20355917712622,STR
15,145.77470383612254,159.10424595827664,STR
16,133.83842966870262,122.78249330102881,LEC
17,235.91812450913955,222.16280481596374,LEC
18,167.01589051028813,184.7559192852971,STR
19,168.68883699739885,152.20497358867655,LEC
20,245.69494779988793,239.85123661414568,LEC
21,275.9901871605636,268.4677706421164,LEC
22,298.6274219329293,286.31571387697477,LEC
23,315.88986122666665,296.9687107766667,LEC
24,326.63845682315593,302.4173706632442,LEC
25,,304.87083306666665,STR
