Minisector,SAI,ZHO,Fastest
0,295.71231020071025,289.18463943962576,SAI
1,315.22516666666667,299.0530176548572,SAI
2,318.80437789601274,297.416398070704,SAI
3,180.69779226492622,192.02340708320762,ZHO
4,205.8634208096587,207.4736996923392,ZHO
5,199.77425872108836,205.89068315033413,ZHO
6,262.5473232822531,263.9796486748331,ZHO
7,265.0707640088889,252.89219454984126,SAI
8,213.80650979785167,212.61596614583934,SAI
9,221.78134711350108,214.9481277161905,SAI
10,139.14747641800557,141.09500795624794,ZHO
11,200.38847808793645,200.27384484680957,SAI
12,185.5450153058564,189.10114508219343,ZHO
13,252.78281894749924,250.39370791130162,SAI
14,180.41296533176472,182.5924860459137,ZHO
15,229.52337646337662,236.2202221867775,ZHO
16,278.2515305953954,280.4978482285714,ZHO
17,290.7461850569697,285.7887773461728,SAI
18,288.00756943644444,275.90178015301586,SAI
19,273.1765832080944,257.2815640568254,SAI
20,268.723673809858,258.1950710768405,SAI
21,262.9057331495527,256.3266715239909,SAI
22,229.80934154202725,236.4036188213714,ZHO
23,209.569069072987,209.53431306911227,SAI
24,270.19382187573046,267.44955519457056,SAI
25,,283.0612496,ZHO
