Minisector,OCO,ALO,Fastest
0,267.8430506453094,275.1022994048707,ALO
1,116.63433318811231,116.14147873902515,OCO
2,156.3033345242407,143.64896655301587,OCO
3,192.64090482659876,204.77714040543367,ALO
4,162.67193618345866,158.94333185907072,OCO
5,240.60387680211858,237.10043335928222,OCO
6,198.52038801995337,225.88925556363637,ALO
7,132.27069478948673,129.336707397563,OCO
8,228.60014848588676,224.12799862615876,OCO
9,269.79387378637057,273.6781810439493,ALO
10,275.1292520272428,285.1958007260106,ALO
11,142.04312163900025,143.40922749763018,ALO
12,214.5637607716458,203.18193965383023,OCO
13,263.2059827498818,260.7052955777443,OCO
14,258.9163632780247,262.50650099200004,ALO
15,99.76794341654511,99.03256213427191,OCO
16,214.8074648050672,202.34351554377142,OCO
17,269.672939202963,265.59673316934243,OCO
18,291.92252165662325,295.366791749418,ALO
19,302.6074079176875,313.27229621498503,ALO
20,308.8187407454815,323.0216231771429,ALO
21,278.58266945169044,295.73014253291007,ALO
22,145.97711971914853,139.0113241672392,OCO
23,230.90241343154435,222.65904697142378,OCO
24,272.06433136252775,277.48778731830305,ALO
25,284.0888888888889,291.29545425454546,ALO
