Minisector,ANT,LAW,Fastest
0,305.7710233904762,295.7699415047873,ANT
1,149.59390983526694,148.0673919912557,ANT
2,209.15069765946953,215.66682981251478,LAW
3,287.00770877128724,288.09548685920157,LAW
4,317.67803590965985,314.17998846003655,ANT
5,318.5442703666667,312.99777271725253,ANT
6,176.95796220690883,168.56938794164398,ANT
7,120.15099152698937,125.65282159907699,LAW
8,253.14564792380952,253.15233362050358,LAW
9,298.2693878072122,296.18546870349377,ANT
10,297.7870795169565,298.1980744949495,LAW
11,133.58786584398385,132.49364781830855,ANT
12,180.99582141522242,179.4088622906964,ANT
13,248.80830802575963,250.3329030927636,LAW
14,189.0205591303716,179.03561009926233,ANT
15,193.04662853986176,201.05359647324136,LAW
16,190.05023255024125,190.71862530144102,LAW
17,237.55670332179417,232.85020872761908,ANT
18,281.53064337814635,278.29848753580245,ANT
19,296.5244206469418,294.1111111111111,ANT
20,243.171009216,237.57255238349205,ANT
21,203.3892474005964,193.70401193296996,ANT
22,190.973556352,182.14166989236045,ANT
23,273.21603696919635,264.8229282145432,ANT
24,307.01502716349376,299.5534723259259,ANT
