Minisector,SAI,ALO,Fastest
0,317.7257647455782,297.05251435503084,SAI
1,155.76967094573644,160.11217731512755,ALO
2,160.10344959332494,153.15567752307572,SAI
3,202.8489660837561,220.69637258291158,ALO
4,283.2494313606625,282.26829732173917,SAI
5,297.228976630303,289.26913013333336,SAI
6,145.99496702460945,145.63281224086762,SAI
7,137.2708785569224,136.92277575192043,SAI
8,161.82672261351695,143.67488752437404,SAI
9,154.31882848006708,179.3945577185185,ALO
10,137.50740664091353,133.53323212030156,SAI
11,132.01188607820646,123.03265015422205,SAI
12,143.26581430909093,162.11037713849728,ALO
13,259.00272817330455,260.5255420127336,ALO
14,283.7108915701791,281.93612818550724,SAI
15,155.77239629863325,151.22291142945735,SAI
16,206.35337302237727,209.1152096536471,ALO
17,156.12439546447598,162.58277608849184,ALO
18,261.8988301805721,261.5236992834393,SAI
19,290.348032920911,284.73505391595336,SAI
20,301.6278829496897,296.9735416533333,SAI
21,311.5904760888889,304.20218245079366,SAI
22,316.6724999466667,309.6618788671607,SAI
23,321.14791233411086,312.31689351836735,SAI
24,316.70978281739133,309.4328505979668,SAI
