Minisector,GAS,ALO,Fastest
0,267.9856342405211,279.5680991675235,ALO
1,285.6338365947584,306.8614279720635,ALO
2,292.84782571226924,310.93750013333334,ALO
3,126.61508501971278,123.8504507980268,GAS
4,194.35389247042076,200.69526023273775,ALO
5,253.16402154279558,260.735418718406,ALO
6,139.41831244862283,134.2100204912845,GAS
7,203.8152968679089,207.92876940457774,ALO
8,257.8039887227701,258.7737720988899,ALO
9,278.25416634074077,277.8530156707702,GAS
10,224.81139217766008,224.9035106305188,ALO
11,179.04898627204136,173.7471753206065,GAS
12,193.3281836307066,192.8708329100905,GAS
13,144.60655034689344,141.09164868691371,GAS
14,173.00775827285176,173.27579379448804,ALO
15,156.30367592233148,157.37670160373412,ALO
16,217.96353165674026,221.56343514862778,ALO
17,228.96735651367865,227.47329609989393,GAS
18,233.34625297277793,238.99405101680023,ALO
19,238.35019873929733,229.6159464859554,GAS
20,144.21880177516385,142.02196208835738,GAS
21,134.74983148840457,127.7232863259496,GAS
22,172.37636683445288,172.02226220795217,GAS
23,149.48475091198443,144.81917713445625,GAS
24,227.55137713263366,231.37253380404346,ALO
