Minisector,COL,SAI,Fastest
0,265.7201426024955,276.10291810805194,SAI
1,118.05072007512078,121.45006656941369,SAI
2,167.73794106303274,156.35897843176915,COL
3,205.2497271825397,202.01090317374522,COL
4,162.58110705024248,153.98010749392776,COL
5,242.15683621933624,235.35774270712497,COL
6,199.9212580035639,204.79076829065255,SAI
7,133.46901265210084,133.37666788022509,COL
8,235.55811428771926,237.68888888888887,SAI
9,290.3669642857143,282.1369974563322,COL
10,283.13681200424344,282.38225775660055,COL
11,146.7900530944178,151.8604843621254,SAI
12,225.5273742417939,220.52703040439673,COL
13,277.6138889888889,275.0277565571683,COL
14,254.70505952380952,259.68625931882394,SAI
15,101.0306464802917,100.18630733165168,COL
16,227.02044213290824,224.43005449106204,COL
17,293.6075929259281,287.38582589285716,COL
18,317.77710622710623,309.67855060473255,COL
19,325.1915816326531,308.95287609558443,COL
20,328.85502383085714,302.85141329258977,COL
21,271.29067460317464,283.39757492522705,SAI
22,149.8967091873826,155.14632866565773,SAI
23,235.99561403508773,238.61108008118586,SAI
24,281.3453047119157,276.0101699832899,COL
25,294.0,281.43333333333334,COL
