Minisector,LEC,NOR,Fastest
0,326.43647677575757,325.9578537876946,LEC
1,338.7019659777332,334.5781973586472,LEC
2,337.7965554123636,338.1851417150113,NOR
3,202.43183957471973,188.16209007092678,LEC
4,128.00142780482395,134.07189476799257,NOR
5,265.89930538329355,268.5659253004542,NOR
6,301.0045691018399,301.7865941473809,NOR
7,316.09238666158734,318.36650573005846,NOR
8,284.5083899741799,266.270332516533,LEC
9,144.19276448379256,151.04048634430936,NOR
10,219.63401189789286,228.90730575038546,NOR
11,222.37933267613448,235.18950541921583,NOR
12,199.09180017840433,209.15162415699328,NOR
13,269.29795978926825,275.7674451641599,NOR
14,306.6627996521017,310.1113471241558,NOR
15,321.2331545752381,326.06134404087123,NOR
16,263.91060017005714,258.7282935276162,LEC
17,210.22363723073016,228.10661051199597,NOR
18,276.31426313403193,284.9338362944928,NOR
19,308.6806574493122,314.24417723387813,NOR
20,322.38931685453633,327.0612254029984,NOR
21,298.35732911543903,302.39681113939395,NOR
22,205.99039851547994,217.02089262820232,NOR
23,265.53110659065794,276.2163343970794,NOR
24,305.6494246049524,310.93287301214207,NOR
