Minisector,LEC,PER,Fastest
0,281.37376995473545,277.747979064818,LEC
1,297.04058460383453,294.9622950384486,LEC
2,240.6951763883248,223.03268817737612,LEC
3,119.20917846006479,111.39693345551258,LEC
4,145.6530679963251,136.8574926988675,LEC
5,255.773191670351,250.67506280684046,LEC
6,258.0596707438779,242.7154033005714,LEC
7,129.291495097826,124.45893317156569,LEC
8,252.24448288306294,248.5514486296743,LEC
9,266.09307051178615,254.48611181202742,LEC
10,214.92900187995198,202.13193132051944,LEC
11,152.9692751390199,140.2630955637442,LEC
12,219.02708770251138,209.59524478328856,LEC
13,266.88220908782756,251.66997827449853,LEC
14,118.02971168622072,111.20181528598195,LEC
15,202.53476366945776,190.67099179406665,LEC
16,261.7595844026045,257.06356800003846,LEC
17,288.1712460331729,286.54112503274325,LEC
18,297.4007942164122,300.5938901897342,PER
19,301.6849206857143,306.4958333866667,PER
20,304.5217105403509,308.7296443590848,PER
21,156.61203790112785,138.63792388844448,LEC
22,158.02464938128415,169.37953593892723,PER
23,194.67135450399707,188.61675849079722,LEC
24,241.80340343398007,240.22608830715907,LEC
