Minisector,RIC,GAS,Fastest
0,296.8119053028571,289.1583538578413,RIC
1,308.6395363849624,297.7338241896649,RIC
2,313.4383771508772,302.11708330666664,RIC
3,304.56416544,302.3845846933333,RIC
4,166.29290680301443,175.42891587878788,GAS
5,207.67718802411062,212.47596874998584,GAS
6,228.5055070778834,235.04046001585465,GAS
7,263.7135820783686,262.53183642588914,RIC
8,263.0020489609281,260.2239139710145,RIC
9,160.91841640542475,162.56842156879887,GAS
10,226.8982767671382,229.79069024079143,GAS
11,127.32085606057504,135.05306955766866,GAS
12,228.00990372571428,224.6533765297142,RIC
13,184.04512282172917,198.07781886903518,GAS
14,219.3956717948718,210.92543202480465,RIC
15,248.89122342939766,248.67306688982492,RIC
16,265.77227233181645,259.589123267412,RIC
17,286.5057538031746,281.6064908408163,RIC
18,156.52880939391295,173.76363699779037,GAS
19,168.2177943449594,165.3583545904001,RIC
20,140.1474590317087,144.12990367178156,GAS
21,165.26898873560557,168.89078684153077,GAS
22,113.54488768034349,113.40026024735991,RIC
23,226.02756315897435,211.9266933040293,RIC
24,272.37499686836276,265.77670626911004,RIC
25,,282.04166613333336,GAS
