Minisector,RUS,OCO,Fastest
0,303.8335151542857,289.10019678557,RUS
1,316.77754913114285,298.67119826729146,RUS
2,321.4891433533336,288.74758493642514,RUS
3,186.709401734428,182.6150267356229,RUS
4,206.1893562176086,203.07251317563492,RUS
5,202.48684332416155,202.3015462472804,RUS
6,258.9922966384689,258.0733442742857,RUS
7,253.5184609886484,247.83348522733158,RUS
8,201.94164266710453,204.43172882261905,OCO
9,205.80138885079364,198.48823328323294,RUS
10,145.10504222558558,141.82567029638926,RUS
11,201.78599724263051,190.60321553446803,RUS
12,184.1574851504303,178.5446231279477,RUS
13,245.01204832741703,252.2631288163265,OCO
14,176.88658893930796,166.42565196435166,RUS
15,229.19492844761905,232.83351081106449,OCO
16,269.5198394964858,274.5053469511111,OCO
17,272.05317233939394,279.7985344902949,OCO
18,261.16995984839537,271.60035094556997,OCO
19,247.24563761433933,253.79248261013345,OCO
20,249.78977272727272,250.24293205925926,OCO
21,252.37188528139555,253.9915121252174,OCO
22,218.6081945342382,212.10692375040477,RUS
23,199.464049357817,199.7742803862069,OCO
24,265.27017620070075,268.0078560559742,OCO
