Minisector,OCO,GAS,Fastest
0,280.333519874188,293.3296253631862,GAS
1,300.189181095524,315.81542425767407,GAS
2,296.50912177342406,304.0803644062338,GAS
3,171.8142892524108,176.4275828362056,GAS
4,210.23466100634923,211.5541738722033,GAS
5,197.83975069421558,195.98405565622323,OCO
6,170.81243078629637,171.45710993054308,GAS
7,194.57314603413633,198.46563091559378,GAS
8,248.8940306727202,251.57295169145166,GAS
9,256.2926704499471,254.910201666023,OCO
10,161.48781017932467,165.357422216895,GAS
11,229.25276182474994,230.0766936483528,GAS
12,110.50848813286048,114.21666243432614,GAS
13,219.64480294830759,219.4944282179571,OCO
14,274.1835156305589,275.16965975983436,GAS
15,289.35559255188406,285.7009092654546,OCO
16,204.90338431448043,204.78093336304522,OCO
17,173.72977977937595,179.73260135394113,GAS
18,262.3908343372604,265.1303397574051,GAS
19,291.0978458184748,289.3375653117924,OCO
20,303.8726983212698,300.2977712568405,OCO
21,305.4994749615427,302.1551700854422,OCO
22,262.82875485348677,275.1355175520922,GAS
23,113.13008449919414,111.88091918933934,OCO
24,234.63532364003788,232.18679294215752,OCO
25,,266.6937498666667,GAS
