Minisector,NOR,ANT,Fastest
0,308.7483833936842,310.3627388773109,ANT
1,237.4555419954978,248.57167779381908,ANT
2,131.60708444437446,131.4920157072132,NOR
3,221.2294575021068,214.05998433546785,NOR
4,263.19557973620965,263.5742564028988,ANT
5,293.0485408498997,290.1008911313837,NOR
6,306.88244428800004,305.51770563287175,NOR
7,288.16145854306876,294.0038889382067,ANT
8,173.43759604512823,177.11559730378377,ANT
9,231.95171803999997,235.63396032059487,ANT
10,274.4481729974026,272.0873265780058,NOR
11,273.2396708888889,268.78354600144775,NOR
12,211.98770985165945,208.8095640081001,NOR
13,126.42347701655558,126.05418515637655,NOR
14,117.87658424792463,119.75329438612125,ANT
15,169.6493225075132,163.00089896837926,NOR
16,118.69253342520058,121.00503742222303,ANT
17,225.2692024204287,224.23446998890125,NOR
18,198.59803118814816,188.0511830789156,NOR
19,158.43176916292776,157.9866270809153,NOR
20,245.67524404994708,242.867933396879,NOR
21,274.37428763247027,273.2269823858628,NOR
22,291.2295903756254,291.43256190431373,ANT
23,301.0652677942857,301.01812498,NOR
24,306.87479513801935,307.02241589270784,ANT
