Minisector,HUL,GAS,Fastest
0,257.6965282573545,250.74836864378693,HUL
1,134.4453235510204,131.520893735455,HUL
2,266.2716490269624,261.61106273103445,HUL
3,308.7768760496894,305.0319773122184,HUL
4,308.7513128237881,302.9668899111111,HUL
5,316.64422115555556,310.534647752381,HUL
6,321.848462215873,314.52430555555554,HUL
7,317.4505517513225,308.8819443953813,HUL
8,207.04428065957984,199.01142314886314,HUL
9,191.54166555428571,191.15343493460688,HUL
10,187.55994988476192,178.69985633714361,HUL
11,165.34859253085222,167.26855741936652,GAS
12,248.06529405957448,250.10735179578685,GAS
13,269.60654834285714,266.89390653328013,HUL
14,275.8013182734863,272.2580088459031,HUL
15,273.07978569784245,266.3077188623974,HUL
16,183.15537120761905,181.67051417611364,HUL
17,192.88052454603175,190.67774865035653,HUL
18,238.89605208142078,240.24292745430708,GAS
19,283.734744081717,285.91789505641026,GAS
20,307.2471067897683,305.78383313066666,HUL
21,316.5512090586654,312.44174095238094,HUL
22,312.0787010583851,305.0201481930101,HUL
23,265.52939549950736,245.0518417047619,HUL
24,117.5902196919178,112.28557449543015,HUL
