Minisector,PIA,PER,Fastest
0,246.80929661887447,244.06300834690552,PIA
1,283.29665811266955,281.5733255853666,PIA
2,178.7978626030001,189.61703869792004,PER
3,148.41656446677385,151.51777342546274,PER
4,255.5375054326702,257.3829027957357,PER
5,271.99711893809524,274.09305897562456,PER
6,240.25507352845574,240.20951051984804,PIA
7,209.08538283783136,207.53196716551446,PIA
8,168.86105863234474,158.70690563788295,PIA
9,218.74579607450798,214.60756114472716,PIA
10,271.7223350658806,270.126124704,PIA
11,126.85239845557999,131.27530028480027,PER
12,208.0811969439242,216.50496506703644,PER
13,273.751235001068,273.9423026668513,PER
14,297.48061574200784,296.7375511093881,PIA
15,308.23655818153605,306.9708436220325,PIA
16,242.5206871445177,232.72591580596145,PIA
17,129.70063127187055,133.8154114051957,PER
18,131.34922870233592,128.2008097521525,PIA
19,123.67533284317369,120.97674255035355,PIA
20,226.94229672058088,225.7099177479607,PIA
21,261.7529498048895,260.72205114401396,PIA
22,232.859633608366,238.4079574862027,PER
23,220.65273319068467,213.51907515565776,PIA
24,141.66248273740212,140.54516192893743,PIA
25,216.89999999999998,,PIA
