Minisector,VER,STR,Fastest
0,290.64675744862257,287.676326624462,VER
1,302.808650637545,289.9052789683185,VER
2,173.04166064105178,166.58317829111544,VER
3,226.73301203023865,220.24834233101146,VER
4,274.4180318044444,270.815873015873,VER
5,294.71337198271635,292.3165501412987,VER
6,302.82284249026424,299.8572374886181,VER
7,178.4929276186549,181.6024824646733,STR
8,131.65293427254082,125.3491350515841,VER
9,250.40963001000569,247.26245637613604,VER
10,285.28458457405276,282.0495957658467,VER
11,301.13291637333333,288.90983891988793,VER
12,156.73708563013065,146.18348316105426,VER
13,186.964309184,195.2658623788034,STR
14,259.64633319718,255.54531223064043,VER
15,219.8563777357576,209.79156264607636,VER
16,226.3833660596664,219.2512795319467,VER
17,224.5973910707224,213.88742961995462,VER
18,250.53266293348725,241.5264989177489,VER
19,279.61505486365184,276.84868942576105,VER
20,298.64167293275614,291.7186763545098,VER
21,272.6558337323809,264.0486964886965,VER
22,231.1909217235921,224.04647371949642,VER
23,209.14071087688453,200.553856178882,VER
24,265.0066284923906,260.5340569438479,VER
25,280.3090909090909,,VER
