Minisector,BEA,OCO,Fastest
0,273.5196300026029,271.9698804194486,BEA
1,300.60378213046386,299.33331955635157,BEA
2,312.46034258924624,312.23575794832954,BEA
3,318.66212133384613,318.6516607552448,BEA
4,320.10336739434445,321.5081844952381,OCO
5,322.1386458266667,323.5110116525821,OCO
6,205.36284734529497,190.5399487201814,BEA
7,106.68165921309928,104.26586490467211,BEA
8,193.55593358810208,194.1735342431117,OCO
9,262.670774064598,267.96176959568055,OCO
10,287.4838712711111,293.68386262906614,OCO
11,168.0945621589189,149.30891107401214,BEA
12,98.07523228437019,94.60978073897739,BEA
13,116.37029951181958,113.4461601495521,BEA
14,222.19844767954427,211.27710913895504,BEA
15,190.28690071762088,191.82266221663494,OCO
16,225.56445297406128,224.10785885348503,BEA
17,183.17365103486296,180.79818747597884,BEA
18,234.65746453333335,245.36677304813634,OCO
19,276.6358528143915,283.03519851757574,OCO
20,248.56985757458838,231.2354100732437,BEA
21,148.3492762929138,140.38557685333333,BEA
22,98.18728651128947,96.21216549574315,BEA
23,127.02384759088949,127.03453797570063,OCO
24,225.56378484342858,230.60111727382056,OCO
