Minisector,LEC,MAG,Fastest
0,300.13141353202616,290.78344347638284,LEC
1,163.48285408310608,166.1850885764935,MAG
2,169.14472040893637,167.05690922225563,LEC
3,247.59002782577778,249.98263314471075,MAG
4,282.40439841693126,285.1911488129293,MAG
5,244.09130963279907,248.61599134199136,MAG
6,216.47539570152958,219.58412827791508,MAG
7,151.74376179732585,150.11161376335664,LEC
8,226.69336437456388,225.806917989418,LEC
9,278.1489584811428,278.6628905533747,MAG
10,297.1736534358095,297.361124992,MAG
11,305.25339564485944,306.1354178181139,MAG
12,307.5219907555556,311.05921049263156,MAG
13,304.1130772821659,308.31585582717935,MAG
14,130.09121364810292,131.58644066302307,MAG
15,124.15077838096813,120.19333254577549,LEC
16,106.34984587839104,103.65624926499108,LEC
17,233.40784053982642,232.07843333574107,LEC
18,284.9349701364767,285.4402777777778,MAG
19,306.3582170489793,306.52463888973705,MAG
20,315.91512412114287,318.0247453695219,MAG
21,320.4341891832568,318.6811788048553,LEC
22,127.28716082618412,127.73477149078346,MAG
23,204.29028796681732,201.90506567045205,LEC
24,270.3739027857143,269.60086952546584,LEC
