Minisector,SAI,GAS,Fastest
0,300.2039468350877,291.39714902456143,SAI
1,311.336896512207,296.8004638814815,SAI
2,158.28917474818005,169.55997679191918,GAS
3,216.3421433910006,222.94621467447175,GAS
4,280.1072324223113,272.45401430716254,SAI
5,307.7268904156863,293.72017532631577,SAI
6,320.18918408161437,301.5460648888889,SAI
7,187.7801285661777,185.19190642448663,SAI
8,114.22544553146636,121.22459992358982,GAS
9,255.00595144126987,247.79563443809525,SAI
10,301.80622779325654,283.8455119672004,SAI
11,319.98593753333336,295.88352457898355,SAI
12,152.39114147329013,152.00645906615924,SAI
13,188.3336598958922,190.1625347958877,GAS
14,256.13988058412696,257.4170350294785,GAS
15,207.26063270503408,205.66668339141063,SAI
16,221.29687426666666,218.62678338895145,SAI
17,218.6490843594759,212.36556876659796,SAI
18,242.4763586018767,242.07794424883068,SAI
19,276.49801554285716,275.20375939849623,SAI
20,288.61828705185184,292.6741665947177,GAS
21,268.0244950095238,263.14492035274384,SAI
22,234.51516612505173,227.45126426685457,SAI
23,206.30138563915648,206.37327836540018,GAS
24,263.82470185904765,263.39692968421053,SAI
25,280.1,282.02916693333333,GAS
