Minisector,LEC,LAT,Fastest
0,273.16798514622826,278.9925795317216,LAT
1,290.8997371338528,302.29678315153245,LAT
2,283.01926817463357,278.40791201438105,LEC
3,153.5195098862298,146.82908239563858,LEC
4,197.30051472680745,179.05796073785848,LEC
5,170.14271331732192,152.7413799494184,LEC
6,167.10413883689594,152.56690478975008,LEC
7,193.30053157822258,183.51261495636942,LEC
8,239.2409152262095,240.4024053771257,LAT
9,234.1306575663711,230.8915085228243,LEC
10,145.78795012142956,137.89848400428025,LEC
11,219.7937474940388,213.67580112786354,LEC
12,108.43246563464334,100.04766859194,LEC
13,212.14628475481265,216.7189277516255,LAT
14,263.50268092812263,272.36534658386944,LAT
15,276.3801337653212,271.79722017056395,LEC
16,175.4479837279552,154.04381965240626,LEC
17,157.10328725453633,159.04322414647973,LAT
18,254.156067941439,257.83438307995857,LAT
19,282.0097446671261,289.4852774028283,LAT
20,292.15238432507937,303.824234685876,LAT
21,285.766743657997,268.94551966959983,LEC
22,242.96119179564627,208.7248367391416,LEC
23,102.65241241261258,97.94388038463788,LEC
24,222.80594900230648,229.29303494984129,LAT
25,258.5857133714286,,LEC
